Ticker, N, C, num_years, my_strategy_%_correct, always_buy_%_correct, successful_%
ZNGA,1,99999.99999999996,5,61.74863387978142,47.12013165112452,14.628502228656906
ZNGA,2,99999.99999999996,5,61.47540983606557,47.12013165112452,14.355278184941056
ZNGA,3,64999.99999999999,5,60.38251366120219,47.12013165112452,13.262382010077673
GOOG,3,21459.61968507191,5,60.92896174863388,52.66044980800878,8.268511940625103
SPY,3,64999.99999999999,5,62.295081967213115,56.171146461876035,6.12393550533708
ZNGA,3,64999.99999999999,5,60.38251366120219,47.12013165112452,13.262382010077673
ZNGA,1,64999.99999999999,5,60.65573770491803,47.12013165112452,13.535606053793515
ZNGA,1,64999.99999999999,8,60.68376068376068,47.12131596984236,13.562444713918325
SPY,1,37348.02912510477,15,62.68248175182482,56.16663621414215,6.515845537682665
SPY,1,75785.82832551992,3,60.909090909090914,56.17566331198536,4.733427597105553
SPY,1,100000.00000000004,5,62.568306010928964,56.171146461876035,6.39715954905293
SPY,1,499999.9999999998,5,62.841530054644814,56.171146461876035,6.670383592768779
SPY,1,499999.9999999998,5,62.841530054644814,56.171146461876035,6.670383592768779
